Epoch,Training Loss,Validation Loss
157,645.4677734375,2212.206298828125
158,605.1001586914062,2576.246826171875
159,621.8916015625,2333.166259765625
160,602.555908203125,2214.286865234375
161,603.1608276367188,2307.6328125
162,669.1633911132812,2436.259033203125
163,589.7977294921875,2760.314453125
164,582.183837890625,2386.904296875
165,630.5936279296875,2306.486572265625
166,592.4776611328125,2712.70361328125
167,617.4525756835938,2593.18359375
168,571.2824096679688,2238.680419921875
169,631.8170166015625,2015.0218505859375
170,663.8601684570312,2305.73193359375
171,750.1458129882812,2304.44921875
172,592.8777465820312,2666.23828125
173,579.0046997070312,2017.4154052734375
174,589.8562622070312,2327.8603515625
175,586.78369140625,2580.026123046875
176,598.4442138671875,2079.771240234375
177,555.6130981445312,2106.67431640625
178,536.1034545898438,2395.94482421875
179,614.1116333007812,2128.0634765625
