Date,Count
02.08.13,1
03.08.13,1
04.08.13,1
05.08.13,1
10.08.13,3
11.08.13,1
12.08.13,1
15.08.13,1
17.08.13,1
18.08.13,1
21.08.13,1
22.08.13,1
24.08.13,2
25.08.13,2
27.08.13,1
30.08.13,1
31.08.13,1
01.09.13,1
03.09.13,1
04.09.13,1
07.09.13,3
08.09.13,1
09.09.13,1
14.09.13,2
21.09.13,1
28.09.13,1
02.10.13,1
04.12.13,1
27.05.20,1
05.04.14,1
10.04.14,1
12.04.14,1
19.04.14,1
26.04.14,1
30.04.14,1
03.05.14,1
10.05.14,3
11.05.14,1
14.05.14,1
15.05.14,1
17.05.14,2
19.05.14,2
21.05.14,1
22.05.14,1
24.05.14,2
25.05.14,1
27.05.14,1
29.05.14,1
31.05.14,3
01.06.14,3
02.06.14,3
03.06.14,1
04.06.14,2
06.06.14,2
07.06.14,1
09.06.14,2
11.06.14,3
12.06.14,2
13.06.14,3
14.06.14,2
15.06.14,1
19.06.14,1
21.06.14,2
22.06.14,2
23.06.14,1
24.06.14,1
25.06.14,2
27.06.14,1.5
28.06.14,3
29.06.14,1
30.06.14,1
02.07.14,1
03.07.14,1
05.07.14,1
06.07.14,1
09.07.14,2
10.07.14,1
12.07.14,1
13.07.14,1
14.07.14,1
16.07.14,1
17.07.14,1
18.07.14,1
19.07.14,1
20.07.14,1
22.07.14,2
26.07.14,1
29.07.14,1
31.07.14,1
01.08.14,1
02.08.14,2
03.08.14,2
05.08.14,1
09.08.14,2
14.08.14,1
16.08.14,2
17.08.14,1
18.08.14,1
19.08.14,1
23.08.14,1
25.08.14,2
27.08.14,1
30.08.14,2
04.09.14,1
06.09.14,3
13.09.14,1
15.09.14,1
20.09.14,1
22.09.14,1
27.09.14,1
04.10.14,1
06.10.14,1
11.10.14,1
18.10.14,1
28.12.20,1
04.04.15,1
11.04.15,1
18.04.15,1
20.04.15,1
24.04.15,1
25.04.15,1
28.04.15,2
02.05.15,2
09.05.15,3
12.05.15,1
14.05.15,2
16.05.15,3
17.05.15,2
20.05.15,2
21.05.15,2
23.05.15,2
25.05.15,1
30.05.15,3
31.05.15,1
18.05.15,0
26.05.15,0
02.06.15,1
03.06.15,2
04.06.15,1
06.06.15,2
07.06.15,2
11.06.15,2
13.06.15,3
14.06.15,2
17.06.15,1
18.06.15,1
20.06.15,3
22.06.15,1
26.06.15,3
27.06.15,2
28.06.15,2
29.06.15,1
09.06.15,0
02.07.15,2
03.07.15,1
04.07.15,1
05.07.15,1
07.07.15,1
08.07.15,1
10.07.15,2
11.07.15,3
14.07.15,1
15.07.15,1
17.07.15,1
18.07.15,1
20.07.15,1
21.07.15,1
25.07.15,4
26.07.15,1
01.08.15,2
02.08.15,1
05.08.15,1
08.08.15,4
10.08.15,2
12.08.15,1
15.08.15,2
16.08.15,1
20.08.15,1
22.08.15,4
26.08.15,1
27.08.15,3
29.08.15,1
30.08.15,2
31.08.15,1
05.09.15,2
06.09.15,1
07.09.15,2
09.09.15,1
12.09.15,1
19.09.15,3
03.10.15,1
17.10.15,1
20.10.15,1
20.12.20,0
25.04.16,1
29.04.16,1
30.04.16,1
03.05.16,1
07.05.16,3
11.05.16,1
14.05.16,2
15.05.16,2
19.05.16,1
21.05.16,3
22.05.16,2
23.05.16,1
28.05.16,1
29.05.16,2
30.05.16,1
31.05.16,1
01.06.16,1
02.06.16,1
04.06.16,3
05.06.16,1
06.06.16,1
07.06.16,2
08.06.16,1
09.06.16,1
11.06.16,3
12.06.16,1
13.06.16,1
16.06.16,1
18.06.16,5
19.06.16,1
22.06.16,1
23.06.16,2
25.06.16,2
26.06.16,4
29.06.16,2
30.06.16,2
24.06.16,0
27.06.16,0
02.07.16,2
03.07.16,2
06.07.16,2
07.07.16,2
09.07.16,2
10.07.16,1
13.07.16,2
14.07.16,1
15.07.16,1
16.07.16,4
18.07.16,1
21.07.16,1
23.07.16,2
24.07.16,1
25.07.16,1
26.07.16,1
29.07.16,2
30.07.16,4
01.08.16,1
05.08.16,1
06.08.16,3
11.08.16,1
13.08.16,4
14.08.16,1
17.08.16,1
18.08.16,1
20.08.16,3
21.08.16,1
22.08.16,2
24.08.16,1
26.08.16,1
27.08.16,3
28.08.16,1
29.08.16,1
30.08.16,1
03.09.16,1
05.09.16,1
06.09.16,2
07.09.16,1
10.09.16,3
12.09.16,1
15.09.16,1
16.09.16,1
17.09.16,1
20.09.16,1
24.09.16,2
27.09.16,1
28.09.16,1
08.10.16,1
15.06.20,0
09.04.17,1
16.04.17,1
23.04.17,1
25.04.17,1
29.04.17,1
30.04.17,1
06.05.17,2
07.05.17,1
11.05.17,1
12.05.17,1
13.05.17,1
16.05.17,1
17.05.17,1
18.05.17,1
19.05.17,2
20.05.17,1
21.05.17,1
22.05.17,1
23.05.17,2
26.05.17,1
27.05.17,3
28.05.17,1
30.05.17,1
31.05.17,1
01.06.17,1
03.06.17,4
04.06.17,1
06.06.17,2
08.06.17,1
10.06.17,2
11.06.17,1
14.06.17,2
17.06.17,2
18.06.17,2
21.06.17,3
22.06.17,1
23.06.17,2
24.06.17,1
25.06.17,1
26.06.17,2
28.06.17,2
30.06.17,1
01.07.17,2
02.07.17,1
03.07.17,1
05.07.17,1
07.07.17,2
08.07.17,2
10.07.17,1
11.07.17,1
12.07.17,1
14.07.17,1
15.07.17,3
18.07.17,1
20.07.17,1
22.07.17,1
24.07.17,1
26.07.17,2
28.07.17,1
29.07.17,3
01.08.17,1
02.08.17,1
03.08.17,1
05.08.17,3
06.08.17,1
11.08.17,2
12.08.17,4
13.08.17,2
16.08.17,2
17.08.17,1
19.08.17,2
20.08.17,1
21.08.17,1
23.08.17,1
24.08.17,1
26.08.17,2
28.08.17,1
29.08.17,1
01.09.17,1
02.09.17,1
05.09.17,1
06.09.17,1
08.09.17,1
09.09.17,2
13.09.17,2
14.09.17,1
16.09.17,2
20.09.17,1
23.09.17,1
24.09.17,1
27.09.17,1
30.09.17,1
02.10.17,2
04.10.17,1
07.10.17,1
09.10.17,1
14.10.17,1
21.10.17,1
17.03.20,0
06.04.18,1
08.04.18,1
15.04.18,1
22.04.18,1
26.04.18,1
27.04.18,1
28.04.18,2
29.04.18,2
04.05.18,2
05.05.18,2
09.05.18,1
11.05.18,1
12.05.18,2
13.05.18,2
15.05.18,1
17.05.18,2
19.05.18,4
20.05.18,1
21.05.18,3
23.05.18,1
25.05.18,1
26.05.18,1
27.05.18,2
29.05.18,2
31.05.18,2
01.06.18,1
02.06.18,2
03.06.18,2
04.06.18,1
06.06.18,1
